date,ws,wd,air_temp,atmos_pres,RH,Y,M,W,D,pm
2021/1/1,1.218181818,135.8064516,-6.732142857,1027.1875,50.75333597,2021,1,53,1,29.39638158
2021/1/2,2.125,123.6585366,-5.335714286,1032.9125,48.22577965,2021,1,53,2,51.35763889
2021/1/3,1.418181818,178.3333333,-6.360714286,1033.55,40.53805037,2021,1,53,3,15.3562253
2021/1/4,4.642857143,291.2,-6.008928571,1035.5375,26.54361956,2021,1,1,4,16.18736065
2021/1/5,3.910714286,261.8367347,-7.128571429,1034.175,28.52339181,2021,1,1,5,11.2964999
2021/1/6,8.107142857,280.7272727,-16.0875,1039.35,18.63967421,2021,1,1,6,11.45829216
2021/1/7,3.375,263.125,-12.86964286,1034.6375,28.00532915,2021,1,1,7,8.614456679
2021/1/8,4.660714286,300,-7.060714286,1029.45,28.87937703,2021,1,1,8,7.409614389
2021/1/9,4.892857143,291.6071429,-3.060714286,1029,29.35286857,2021,1,1,9,9.867635987
2021/1/10,4.035714286,300.4081633,-2.133928571,1030.7375,28.46120946,2021,1,1,10,8.568085749
2021/1/11,3.446428571,264.75,-4.635714286,1021.8875,35.90743416,2021,1,2,11,20.53366546
2021/1/12,1.589285714,200.6451613,-3.998181818,1009,42.73360466,2021,1,2,12,44.03532609
2021/1/13,2.672727273,209.5238095,0.950909091,1016.275,51.07159198,2021,1,2,13,60.56853865
2021/1/14,2.535714286,255.8333333,-1.080357143,1015.875,67.03752199,2021,1,2,14,51.40187198
2021/1/15,3.071428571,137.2,-3.773214286,1028.825,31.17408959,2021,1,2,15,45.28094807
2021/1/16,4.148148148,290.6521739,-4.637037037,1033.933333,26.91251133,2021,1,2,16,8.936292271
2021/1/17,2.327272727,187.2972973,-3.956363636,1022.771429,31.03880054,2021,1,2,17,17.35763889
2021/1/18,2.698113208,97.38095238,-2.928301887,1025.1,43.4943416,2021,1,3,18,19.2696256
2021/1/19,1.436363636,222,-5.981818182,1028.1,68.04111897,2021,1,3,19,26.46573068
2021/1/20,1.490566038,267.8378378,-4.414285714,1023.375,65.31585504,2021,1,3,20,53.58648807
2021/1/21,1.774545455,252.6,-2.198214286,1021.8875,57.44772405,2021,1,3,21,80.4575785
2021/1/22,1.272727273,148.5,-3.580357143,1025.2875,66.63637773,2021,1,3,22,85.86594203
2021/1/23,1.425925926,255.1351351,-3.958928571,1024.3875,67.60734892,2021,1,3,23,87.1875
